partition,K,gate_1_based,gate_0_based,gate_name,group,group_name,mean_owen,std_owen,num_runs,run_values
feature_interaction,16,8,7,H,L,local feature encoding,0.04021484374999999,0.004884164851787707,5,"[0.0322265625, 0.03732910156250001, 0.044824218749999985, 0.0451171875, 0.04157714843749999]"
feature_interaction,16,9,8,P,L,local feature encoding,-0.002563476562499999,0.003005330436425331,5,"[0.0002685546874999956, -0.0015380859375000002, -0.0053955078124999995, 0.0006347656249999995, -0.0067871093749999915]"
feature_interaction,16,10,9,H,L,local feature encoding,0.017504882812499994,0.004588518966058642,5,"[0.009472656250000003, 0.019848632812499982, 0.021069335937499996, 0.021752929687500006, 0.015380859374999993]"
feature_interaction,16,11,10,P,L,local feature encoding,-0.004423828125,0.002206328963900953,5,"[-0.0039062499999999905, -0.008593750000000008, -0.004394531250000001, -0.0028564453125000003, -0.0023681640625000046]"
feature_interaction,16,12,11,CX,XFE,cross-feature entangling motifs,0.0070019531249999965,0.004507378145708774,5,"[0.005981445312500002, -0.0010742187499999992, 0.011157226562499995, 0.011181640624999996, 0.0077636718749999915]"
feature_interaction,16,13,12,P,XFE,cross-feature entangling motifs,0.005029296874999999,0.0022071176697682268,5,"[0.0015136718749999968, 0.007177734374999995, 0.0063964843750000016, 0.006689453125000002, 0.0033691406249999997]"
feature_interaction,16,14,13,CX,XFE,cross-feature entangling motifs,0.005903320312500003,0.004088328491614472,5,"[0.00041503906250000546, 0.010034179687500002, 0.005908203124999999, 0.002368164062500008, 0.010791015625]"
feature_interaction,16,15,14,RY,C,trainable classifier,0.018115234375,0.014354638315691427,5,"[0.020996093749999986, -0.004101562500000004, 0.03266601562500002, 0.008154296875000008, 0.03286132812499999]"
feature_interaction,16,16,15,RY,C,trainable classifier,0.008603515624999999,0.0050065760283682925,5,"[0.0030273437500000014, 0.008740234375000001, 0.016064453124999996, 0.003320312499999996, 0.011865234375000004]"
feature_interaction,16,17,16,CX,C,trainable classifier,0.007080078124999995,0.0047298300301657535,5,"[0.0029785156250000076, 0.0011718749999999967, 0.011914062499999996, 0.0062499999999999865, 0.013085937499999988]"
feature_interaction,16,18,17,RY,C,trainable classifier,0.0063769531249999985,0.004105350743130371,5,"[0.00810546875, 0.003613281249999989, -0.00014648437499999688, 0.011279296874999992, 0.009033203125000009]"
feature_interaction,16,19,18,RY,C,trainable classifier,-0.0008886718750000021,0.003173512604508851,5,"[0.0005859375000000005, 0.0035644531249999865, -0.003027343749999996, 9.765625000000486e-05, -0.005664062500000006]"
feature_interaction,32,2,1,P,L,local feature encoding,0.008872070312499999,0.0030412553657205342,5,"[0.005334472656249992, 0.012719726562499999, 0.009191894531250001, 0.011608886718750006, 0.005505371093750004]"
feature_interaction,32,4,3,P,L,local feature encoding,0.0021386718749999965,0.0023090257063038125,5,"[-0.0009033203124999977, 2.441406249998994e-05, 0.0022216796875000008, 0.004846191406250001, 0.004504394531249988]"
feature_interaction,32,5,4,CX,XFE,cross-feature entangling motifs,0.004323730468749998,0.0031059389538142194,5,"[0.004870605468749995, 0.0016723632812499973, -8.544921875000338e-05, 0.0079345703125, 0.007226562500000002]"
feature_interaction,32,6,5,P,XFE,cross-feature entangling motifs,-0.021010742187499997,0.0019096635366343021,5,"[-0.018200683593750003, -0.023730468750000004, -0.022424316406249988, -0.0205322265625, -0.020166015625]"
feature_interaction,32,7,6,CX,XFE,cross-feature entangling motifs,-0.0019604492187499977,0.002786184755008932,5,"[-0.0036254882812499947, -0.00421142578125, -0.0007568359375000056, -0.004199218749999991, 0.002990722656250002]"
feature_interaction,32,8,7,H,L,local feature encoding,0.03343261718749999,0.004071687433192706,5,"[0.0307861328125, 0.029821777343749988, 0.03306884765624998, 0.0322265625, 0.041259765625]"
feature_interaction,32,9,8,P,L,local feature encoding,-0.00032714843750000083,0.0028665415688506053,5,"[-0.0023925781249999997, -0.0002685546874999986, -0.004260253906250003, 0.00400390625, 0.0012817382812499983]"
feature_interaction,32,10,9,H,L,local feature encoding,0.01757080078125,0.005154990996196592,5,"[0.012243652343750001, 0.018762207031250006, 0.0267333984375, 0.013256835937499996, 0.01685791015624999]"
feature_interaction,32,11,10,P,L,local feature encoding,0.0009790039062500008,0.002309399975549996,5,"[-0.0014404296874999975, 0.0016479492187500013, -0.0020263671875000062, 0.0032470703125000093, 0.003466796874999997]"
feature_interaction,32,12,11,CX,XFE,cross-feature entangling motifs,0.008188476562500002,0.0025983881098674885,5,"[0.0047485351562500016, 0.00885009765625, 0.005566406249999999, 0.010766601562500006, 0.011010742187500002]"
feature_interaction,32,13,12,P,XFE,cross-feature entangling motifs,0.003415527343749996,0.0036022401118463456,5,"[0.009509277343749994, -0.0009155273437500069, 0.0005371093750000007, 0.004174804687499992, 0.003771972656250002]"
feature_interaction,32,14,13,CX,XFE,cross-feature entangling motifs,0.008327636718750003,0.003190175373554249,5,"[0.010144042968750001, 0.008459472656250012, 0.004565429687499999, 0.005249023437500003, 0.013220214843750005]"
feature_interaction,32,15,14,RY,C,trainable classifier,0.025141601562500004,0.006959684899311536,5,"[0.024121093750000003, 0.0341064453125, 0.019921875000000002, 0.01572265625000001, 0.031835937499999994]"
feature_interaction,32,16,15,RY,C,trainable classifier,0.0060058593750000056,0.0035027841665915657,5,"[0.004174804687500008, 0.0012207031250000139, 0.011840820312499997, 0.0057861328125, 0.007006835937500006]"
feature_interaction,32,17,16,CX,C,trainable classifier,0.005576171874999999,0.008963261217380706,5,"[-0.0061523437499999955, 0.0012207031249999887, 0.004296874999999996, 0.021069335937500013, 0.007446289062499995]"
feature_interaction,32,18,17,RY,C,trainable classifier,0.012558593749999996,0.004015400089837838,5,"[0.008471679687500004, 0.008105468749999997, 0.012036132812499992, 0.015917968750000004, 0.018261718749999996]"
feature_interaction,32,19,18,RY,C,trainable classifier,-0.0013671874999999995,0.0016226813573827928,5,"[-0.0035400390625000035, -0.0010009765624999977, 0.0010253906250000033, -0.0005615234374999993, -0.0027587890625]"
