r,subset_key,active_gate_indices,included_gate_indices_total,n_active_gates,n_total_gates,value_accuracy,data_index
3,2-11-13,2-11-13,1-2-3-8-10-11-13-15-17,3,9,0.531,0
3,2-11-14,2-11-14,1-2-3-8-10-11-14-15-17,3,9,0.531,0
3,2-11-16,2-11-16,1-2-3-8-10-11-15-16-17,3,9,0.705,0
3,2-11-18,2-11-18,1-2-3-8-10-11-15-17-18,3,9,0.74,0
3,2-11-19,2-11-19,1-2-3-8-10-11-15-17-19,3,9,0.531,0
3,2-11-20,2-11-20,1-2-3-8-10-11-15-17-20,3,9,0.551,0
3,2-11-21,2-11-21,1-2-3-8-10-11-15-17-21,3,9,0.531,0
3,2-12-13,2-12-13,1-2-3-8-10-12-13-15-17,3,9,0.535,0
3,2-12-14,2-12-14,1-2-3-8-10-12-14-15-17,3,9,0.531,0
3,2-12-16,2-12-16,1-2-3-8-10-12-15-16-17,3,9,0.628,0
3,2-12-18,2-12-18,1-2-3-8-10-12-15-17-18,3,9,0.74,0
3,2-12-19,2-12-19,1-2-3-8-10-12-15-17-19,3,9,0.531,0
3,2-12-20,2-12-20,1-2-3-8-10-12-15-17-20,3,9,0.551,0
3,2-12-21,2-12-21,1-2-3-8-10-12-15-17-21,3,9,0.531,0
3,2-13-14,2-13-14,1-2-3-8-10-13-14-15-17,3,9,0.531,0
3,2-13-16,2-13-16,1-2-3-8-10-13-15-16-17,3,9,0.705,0
3,2-13-18,2-13-18,1-2-3-8-10-13-15-17-18,3,9,0.74,0
3,2-13-19,2-13-19,1-2-3-8-10-13-15-17-19,3,9,0.531,0
3,2-13-20,2-13-20,1-2-3-8-10-13-15-17-20,3,9,0.551,0
3,2-13-21,2-13-21,1-2-3-8-10-13-15-17-21,3,9,0.531,0
3,2-14-16,2-14-16,1-2-3-8-10-14-15-16-17,3,9,0.628,0
3,2-14-18,2-14-18,1-2-3-8-10-14-15-17-18,3,9,0.74,0
3,2-14-19,2-14-19,1-2-3-8-10-14-15-17-19,3,9,0.531,0
3,2-14-20,2-14-20,1-2-3-8-10-14-15-17-20,3,9,0.551,0
3,2-14-21,2-14-21,1-2-3-8-10-14-15-17-21,3,9,0.531,0
3,2-16-18,2-16-18,1-2-3-8-10-15-16-17-18,3,9,0.647,0
3,2-16-19,2-16-19,1-2-3-8-10-15-16-17-19,3,9,0.705,0
3,2-16-20,2-16-20,1-2-3-8-10-15-16-17-20,3,9,0.658,0
3,2-16-21,2-16-21,1-2-3-8-10-15-16-17-21,3,9,0.705,0
3,2-18-19,2-18-19,1-2-3-8-10-15-17-18-19,3,9,0.74,0
3,2-18-20,2-18-20,1-2-3-8-10-15-17-18-20,3,9,0.636,0
3,2-18-21,2-18-21,1-2-3-8-10-15-17-18-21,3,9,0.74,0
3,2-19-20,2-19-20,1-2-3-8-10-15-17-19-20,3,9,0.551,0
3,2-19-21,2-19-21,1-2-3-8-10-15-17-19-21,3,9,0.531,0
3,2-20-21,2-20-21,1-2-3-8-10-15-17-20-21,3,9,0.551,0
3,2-4-11,2-4-11,1-2-3-4-8-10-11-15-17,3,9,0.618,0
3,2-4-12,2-4-12,1-2-3-4-8-10-12-15-17,3,9,0.74,0
3,2-4-13,2-4-13,1-2-3-4-8-10-13-15-17,3,9,0.571,0
3,2-4-14,2-4-14,1-2-3-4-8-10-14-15-17,3,9,0.74,0
3,2-4-16,2-4-16,1-2-3-4-8-10-15-16-17,3,9,0.647,0
3,2-4-18,2-4-18,1-2-3-4-8-10-15-17-18,3,9,0.548,0
3,2-4-19,2-4-19,1-2-3-4-8-10-15-17-19,3,9,0.74,0
3,2-4-20,2-4-20,1-2-3-4-8-10-15-17-20,3,9,0.636,0
3,2-4-21,2-4-21,1-2-3-4-8-10-15-17-21,3,9,0.74,0
3,2-4-5,2-4-5,1-2-3-4-5-8-10-15-17,3,9,0.74,0
3,2-4-6,2-4-6,1-2-3-4-6-8-10-15-17,3,9,0.636,0
3,2-4-7,2-4-7,1-2-3-4-7-8-10-15-17,3,9,0.74,0
3,2-4-9,2-4-9,1-2-3-4-8-9-10-15-17,3,9,0.659,0
3,2-5-11,2-5-11,1-2-3-5-8-10-11-15-17,3,9,0.531,0
3,2-5-12,2-5-12,1-2-3-5-8-10-12-15-17,3,9,0.531,0
3,2-5-13,2-5-13,1-2-3-5-8-10-13-15-17,3,9,0.531,0
3,2-5-14,2-5-14,1-2-3-5-8-10-14-15-17,3,9,0.531,0
3,2-5-16,2-5-16,1-2-3-5-8-10-15-16-17,3,9,0.705,0
3,2-5-18,2-5-18,1-2-3-5-8-10-15-17-18,3,9,0.74,0
3,2-5-19,2-5-19,1-2-3-5-8-10-15-17-19,3,9,0.531,0
3,2-5-20,2-5-20,1-2-3-5-8-10-15-17-20,3,9,0.551,0
3,2-5-21,2-5-21,1-2-3-5-8-10-15-17-21,3,9,0.531,0
3,2-5-6,2-5-6,1-2-3-5-6-8-10-15-17,3,9,0.551,0
3,2-5-7,2-5-7,1-2-3-5-7-8-10-15-17,3,9,0.531,0
3,2-5-9,2-5-9,1-2-3-5-8-9-10-15-17,3,9,0.706,0
3,2-6-11,2-6-11,1-2-3-6-8-10-11-15-17,3,9,0.658,0
3,2-6-12,2-6-12,1-2-3-6-8-10-12-15-17,3,9,0.551,0
3,2-6-13,2-6-13,1-2-3-6-8-10-13-15-17,3,9,0.603,0
3,2-6-14,2-6-14,1-2-3-6-8-10-14-15-17,3,9,0.551,0
3,2-6-16,2-6-16,1-2-3-6-8-10-15-16-17,3,9,0.658,0
3,2-6-18,2-6-18,1-2-3-6-8-10-15-17-18,3,9,0.636,0
3,2-6-19,2-6-19,1-2-3-6-8-10-15-17-19,3,9,0.551,0
3,2-6-20,2-6-20,1-2-3-6-8-10-15-17-20,3,9,0.662,0
3,2-6-21,2-6-21,1-2-3-6-8-10-15-17-21,3,9,0.551,0
3,2-6-7,2-6-7,1-2-3-6-7-8-10-15-17,3,9,0.551,0
3,2-6-9,2-6-9,1-2-3-6-8-9-10-15-17,3,9,0.603,0
3,2-7-11,2-7-11,1-2-3-7-8-10-11-15-17,3,9,0.531,0
3,2-7-12,2-7-12,1-2-3-7-8-10-12-15-17,3,9,0.531,0
3,2-7-13,2-7-13,1-2-3-7-8-10-13-15-17,3,9,0.531,0
3,2-7-14,2-7-14,1-2-3-7-8-10-14-15-17,3,9,0.531,0
3,2-7-16,2-7-16,1-2-3-7-8-10-15-16-17,3,9,0.705,0
3,2-7-18,2-7-18,1-2-3-7-8-10-15-17-18,3,9,0.74,0
3,2-7-19,2-7-19,1-2-3-7-8-10-15-17-19,3,9,0.531,0
3,2-7-20,2-7-20,1-2-3-7-8-10-15-17-20,3,9,0.551,0
3,2-7-21,2-7-21,1-2-3-7-8-10-15-17-21,3,9,0.531,0
3,2-7-9,2-7-9,1-2-3-7-8-9-10-15-17,3,9,0.706,0
3,2-9-11,2-9-11,1-2-3-8-9-10-11-15-17,3,9,0.706,0
3,2-9-12,2-9-12,1-2-3-8-9-10-12-15-17,3,9,0.706,0
3,2-9-13,2-9-13,1-2-3-8-9-10-13-15-17,3,9,0.706,0
3,2-9-14,2-9-14,1-2-3-8-9-10-14-15-17,3,9,0.706,0
3,2-9-16,2-9-16,1-2-3-8-9-10-15-16-17,3,9,0.632,0
3,2-9-18,2-9-18,1-2-3-8-9-10-15-17-18,3,9,0.659,0
3,2-9-19,2-9-19,1-2-3-8-9-10-15-17-19,3,9,0.706,0
