partition,K,gate_1_based,gate_0_based,gate_name,group,group_name,mean_owen,std_owen,num_runs,run_values
architecture,8,13,12,P,B2,feature map block 2,0.006362304687499999,0.003069134124519814,5,"[0.0004394531249999941, 0.007397460937499991, 0.009301757812500002, 0.006884765625000006, 0.0077880859375]"
architecture,8,14,13,CX,B2,feature map block 2,0.001367187499999999,0.003765943331737275,5,"[-0.00019531250000000408, 0.0032226562499999972, 0.0006591796875000009, 0.007250976562500001, -0.004101562500000001]"
architecture,8,15,14,RY,C,trainable classifier,0.02291015625,0.005419913077132502,5,"[0.03291015625000001, 0.022363281250000006, 0.01865234375, 0.017578125, 0.023046875]"
architecture,8,16,15,RY,C,trainable classifier,0.0010546875000000048,0.006596648966550412,5,"[-0.005371093749999995, 0.001855468750000002, -0.005273437499999994, 0.0013671875000000064, 0.012695312500000003]"
architecture,8,17,16,CX,C,trainable classifier,0.0007617187499999985,0.0030297999108852064,5,"[-0.0035156250000000005, -0.00029296875000000243, 0.0037109375000000016, -0.0007812500000000042, 0.004687499999999998]"
architecture,8,18,17,RY,C,trainable classifier,0.009667968750000002,0.006559999988835035,5,"[0.012109375000000002, 0.0029296874999999974, 0.0008789062500000003, 0.015527343750000012, 0.016894531249999997]"
architecture,8,19,18,RY,C,trainable classifier,-0.003125,0.0073700389663307955,5,"[-0.006640625000000002, -0.004687499999999992, 0.009472656249999994, -0.012792968749999988, -0.0009765625000000113]"
architecture,16,2,1,P,B1,feature map block 1,0.014199218749999996,0.007219393086378148,5,"[0.01821289062499999, 0.019824218749999994, 0.00034179687499998404, 0.013867187500000003, 0.018750000000000003]"
architecture,16,4,3,P,B1,feature map block 1,0.018251953124999998,0.004500713715645039,5,"[0.0189453125, 0.013720703124999997, 0.014257812499999982, 0.018066406250000014, 0.02626953125000001]"
architecture,16,5,4,CX,B1,feature map block 1,0.005283203125000002,0.007179122686740326,5,"[0.00043945312500000885, 0.014697265625000011, 0.01215820312500001, 0.0036132812499999898, -0.004492187500000009]"
architecture,16,6,5,P,B1,feature map block 1,-0.0119921875,0.005996173274106205,5,"[-0.008203124999999985, -0.004882812500000003, -0.02192382812500001, -0.015283203125000009, -0.00966796875]"
architecture,16,7,6,CX,B1,feature map block 1,0.012685546875,0.008532407130203465,5,"[0.00532226562499999, 0.006396484374999999, 0.006005859375000005, 0.025927734375000008, 0.019775390624999997]"
architecture,16,8,7,H,B2,feature map block 2,0.008403320312499997,0.005331148067452454,5,"[0.013781738281249992, 0.011804199218749999, 0.012023925781249998, -0.00020751953125000013, 0.0046142578124999944]"
architecture,16,9,8,P,B2,feature map block 2,0.001577148437499999,0.0010503552789440421,5,"[-0.00045166015625000295, 0.001806640625000002, 0.002575683593749998, 0.0020996093749999964, 0.0018554687500000003]"
architecture,16,10,9,H,B2,feature map block 2,0.0028417968750000014,0.0017406456115707666,5,"[0.0016723632812500003, 0.0041625976562500045, 9.765625000000399e-05, 0.0033813476562499943, 0.004895019531250005]"
architecture,16,11,10,P,B2,feature map block 2,0.0007202148437499977,0.002494837676216661,5,"[-0.001806640624999999, -0.0018188476562500016, 0.0006103515624999987, 0.0017456054687500005, 0.004870605468749989]"
architecture,16,12,11,CX,B2,feature map block 2,0.006203613281249997,0.0021924235928487325,5,"[0.009826660156250003, 0.0034912109374999967, 0.005261230468750001, 0.007373046874999996, 0.005065917968749995]"
architecture,16,13,12,P,B2,feature map block 2,0.004885253906249999,0.0022092419920168925,5,"[0.0036865234375, 0.007360839843749993, 0.004284667968749997, 0.0016967773437499998, 0.007397460937500002]"
architecture,16,14,13,CX,B2,feature map block 2,0.003276367187500003,0.0014893898827197014,5,"[0.0038940429687500003, 0.0008300781250000049, 0.00520019531250001, 0.0025146484374999997, 0.0039428710937500005]"
architecture,16,15,14,RY,C,trainable classifier,0.020156250000000007,0.011267618582274834,5,"[0.033447265625000014, 0.006494140624999997, 0.014941406250000002, 0.03364257812500001, 0.012255859374999994]"
architecture,16,16,15,RY,C,trainable classifier,0.005488281249999996,0.002717336703871465,5,"[0.005517578124999992, 0.0052734375, 0.004833984374999994, 0.001660156249999995, 0.010156249999999999]"
architecture,16,17,16,CX,C,trainable classifier,0.007841796875000001,0.001932656417379121,5,"[0.007568359374999994, 0.008886718750000001, 0.004199218750000014, 0.009033203124999997, 0.009521484375]"
architecture,16,18,17,RY,C,trainable classifier,0.011845703124999996,0.0035272161348731345,5,"[0.009326171875000002, 0.013916015625000003, 0.017822265624999993, 0.00854492187499999, 0.009619140624999998]"
architecture,16,19,18,RY,C,trainable classifier,0.0017578125,0.0025611270855313267,5,"[-0.0006347656250000003, 0.006103515624999998, 0.0007324218749999957, 0.0031250000000000036, -0.0005371093749999981]"
