K,gate_1_based,gate_0_based,gate_name,group,group_name,mean_owen,std_owen,num_runs,run_values
32,6,5,P,X,mix,-0.003378906249999994,0.0028945483826247295,5,"[-0.008007812499999982, -0.005273437499999997, -0.00043945312499999584, -0.0006347656250000003, -0.002539062499999996]"
32,7,6,CX,X,mix,0.013134765625000006,0.010724150339896172,5,"[0.0018554687500000038, 0.01123046875000001, 0.016113281250000003, 0.004394531250000016, 0.032080078124999994]"
32,8,7,H,E,entanglement,0.0284521484375,0.010345925001602998,5,"[0.01953125, 0.03999023437500001, 0.02482910156249999, 0.04138183593749999, 0.016528320312499997]"
32,9,8,P,M,magic,0.0017523193359375,0.002065885777539335,5,"[0.0023010253906250045, -0.002029418945312498, 0.0024536132812500028, 0.004251098632812494, 0.0017852783203124957]"
32,10,9,H,E,entanglement,0.004243164062499997,0.01077420432921208,5,"[-0.011645507812500004, 0.000952148437499997, -2.4414062500004684e-05, 0.019433593750000002, 0.012499999999999994]"
32,11,10,P,M,magic,0.0023114013671875,0.0013515802283033925,5,"[-0.00036621093750000065, 0.0031860351562500015, 0.0030212402343750065, 0.002636718749999995, 0.003079223632812497]"
32,12,11,CX,E,entanglement,0.010458984375000003,0.008119261255531278,5,"[0.007153320312500001, 0.00615234375, -0.000683593750000001, 0.01960449218750001, 0.020068359375]"
32,13,12,P,X,mix,0.009648437499999999,0.004427997569509937,5,"[0.007470703125000004, 0.018115234374999994, 0.007031249999999994, 0.009814453124999989, 0.005810546875000008]"
32,14,13,CX,X,mix,0.009775390625000002,0.010892826946850979,5,"[0.004736328125000005, -0.0019042968749999906, 0.024902343749999983, 0.0005371093750000024, 0.020605468750000005]"
32,15,14,RY,M,magic,-0.009974975585937497,0.0011371057644638998,5,"[-0.009829711914062482, -0.007983398437500006, -0.011328125000000008, -0.010778808593750008, -0.009954833984374982]"
32,16,15,RY,M,magic,0.0056994628906250015,0.0009094537307636347,5,"[0.00671386718750001, 0.006289672851562502, 0.004901123046875001, 0.006243896484374996, 0.004348754882812495]"
32,17,16,CX,E,entanglement,0.01859375,0.007343571437531601,5,"[0.008447265624999976, 0.026196289062499996, 0.011083984375000007, 0.022631835937500015, 0.024609374999999996]"
32,18,17,RY,M,magic,0.0005242919921875004,0.002732630172981108,5,"[0.005032348632812498, -0.002999877929687504, 0.0013610839843750033, 0.0006713867187500024, -0.0014434814453124973]"
32,19,18,RY,M,magic,-7.446289062499996e-05,0.0009049655263088477,5,"[0.0010620117187500034, -0.0012817382812500013, -0.0007019042968749932, 0.0008697509765624976, -0.0003204345703125063]"
