benchmark_id,family_role,value_function,random_index,random_seed,active_gates_json,locked_gates_json,original_group_sizes_json,random_partition_json,group_totals_json,dominance_abs,dominance_norm,top_group,bottom_group,top_drop,bottom_drop,faithfulness_gap,faithfulness_ratio,share_E,share_M,share_X,resource_alignment,expected_group_label,expected_group_gates_json,expected_drop,expected_drop_norm,expected_metric_skip_reason
E5,entanglement_axis,magic,37,1662482634,"[0,1,2,3,4,5]",[],"{""E"":2,""M"":2,""X"":2}","{""E"":[0,4],""M"":[2,3],""X"":[1,5]}","{""E"":0.09871939626643543,""M"":0.010154821103488976,""X"":0.0}",0.09871939626643543,0.9067288716308982,E,X,0.09871939626643567,0.0,0.09871939626643567,98719396266.43567,0.9067288716308982,0.09327112835991681,0.0,0.09327112835991681,M+X,"[1,2,3,5]",0.010154821103489198,0.09327112835991884,
E5,entanglement_axis,magic,38,657995536,"[0,1,2,3,4,5]",[],"{""E"":2,""M"":2,""X"":2}","{""E"":[1,3],""M"":[0,2],""X"":[4,5]}","{""E"":1.4802973661668753e-16,""M"":0.1088742173699241,""X"":1.4802973661668753e-16}",0.10887421736992395,0.9999999999908108,M,E,0.10887421736992442,4.440892098500626e-16,0.10887421736992398,108825888966.88188,1.359639960601176e-15,0.9999999999908123,1.359639960601176e-15,0.9999999999908137,M+X,"[0,2,4,5]",0.10887421736992442,0.999999999990815,
E5,entanglement_axis,magic,39,1895227976,"[0,1,2,3,4,5]",[],"{""E"":2,""M"":2,""X"":2}","{""E"":[2,5],""M"":[0,4],""X"":[1,3]}","{""E"":0.010154821103488901,""M"":0.09871939626643535,""X"":1.4802973661668753e-16}",0.0987193962664352,0.9067288716308961,M,X,0.09871939626643567,4.440892098500626e-16,0.09871939626643522,98675575508.07678,0.09327112835991615,0.9067288716308975,1.359639960601176e-15,0.9067288716308989,M+X,"[0,1,3,4]",0.09871939626643567,0.9067288716309003,
E5,entanglement_axis,magic,40,1463503402,"[0,1,2,3,4,5]",[],"{""E"":2,""M"":2,""X"":2}","{""E"":[0,5],""M"":[2,4],""X"":[1,3]}","{""E"":0.09871939626643536,""M"":0.010154821103488903,""X"":1.4802973661668753e-16}",0.09871939626643521,0.9067288716308961,E,X,0.09871939626643567,4.440892098500626e-16,0.09871939626643522,98675575508.07678,0.9067288716308975,0.09327112835991615,1.3596399606011759e-15,0.09327112835991751,M+X,"[1,2,3,4]",0.010154821103489198,0.09327112835991884,
E5,entanglement_axis,magic,41,378740732,"[0,1,2,3,4,5]",[],"{""E"":2,""M"":2,""X"":2}","{""E"":[1,2],""M"":[0,4],""X"":[3,5]}","{""E"":0.010154821103488901,""M"":0.09871939626643536,""X"":1.4802973661668753e-16}",0.09871939626643521,0.9067288716308961,M,X,0.09871939626643567,4.440892098500626e-16,0.09871939626643522,98675575508.07678,0.09327112835991613,0.9067288716308975,1.3596399606011759e-15,0.9067288716308989,M+X,"[0,3,4,5]",0.09871939626643567,0.9067288716309003,
E5,entanglement_axis,magic,42,518042689,"[0,1,2,3,4,5]",[],"{""E"":2,""M"":2,""X"":2}","{""E"":[0,5],""M"":[1,3],""X"":[2,4]}","{""E"":0.09871939626643536,""M"":1.4802973661668753e-16,""X"":0.010154821103488903}",0.09871939626643521,0.9067288716308961,E,M,0.09871939626643567,4.440892098500626e-16,0.09871939626643522,98675575508.07678,0.9067288716308975,1.3596399606011759e-15,0.09327112835991615,0.09327112835991751,M+X,"[1,2,3,4]",0.010154821103489198,0.09327112835991884,
E5,entanglement_axis,magic,43,1740267966,"[0,1,2,3,4,5]",[],"{""E"":2,""M"":2,""X"":2}","{""E"":[0,4],""M"":[3,5],""X"":[1,2]}","{""E"":0.09871939626643536,""M"":1.4802973661668753e-16,""X"":0.010154821103488901}",0.09871939626643521,0.9067288716308961,E,M,0.09871939626643567,4.440892098500626e-16,0.09871939626643522,98675575508.07678,0.9067288716308975,1.3596399606011759e-15,0.09327112835991613,0.0932711283599175,M+X,"[1,2,3,5]",0.010154821103489198,0.09327112835991884,
E5,entanglement_axis,magic,44,1196208113,"[0,1,2,3,4,5]",[],"{""E"":2,""M"":2,""X"":2}","{""E"":[1,4],""M"":[0,5],""X"":[2,3]}","{""E"":1.4802973661668753e-16,""M"":0.09871939626643537,""X"":0.010154821103488903}",0.09871939626643522,0.9067288716308961,M,E,0.09871939626643567,4.440892098500626e-16,0.09871939626643522,98675575508.07678,1.3596399606011757e-15,0.9067288716308975,0.09327112835991613,0.9999999999908137,M+X,"[0,2,3,5]",0.10887421736992442,0.999999999990815,
E5,entanglement_axis,magic,45,828418948,"[0,1,2,3,4,5]",[],"{""E"":2,""M"":2,""X"":2}","{""E"":[1,3],""M"":[2,4],""X"":[0,5]}","{""E"":1.4802973661668753e-16,""M"":0.010154821103488903,""X"":0.09871939626643536}",0.09871939626643521,0.9067288716308962,X,E,0.09871939626643567,4.440892098500626e-16,0.09871939626643522,98675575508.07678,1.3596399606011759e-15,0.09327112835991615,0.9067288716308975,0.9999999999908137,M+X,"[0,2,4,5]",0.10887421736992442,0.999999999990815,
E5,entanglement_axis,magic,46,1677588130,"[0,1,2,3,4,5]",[],"{""E"":2,""M"":2,""X"":2}","{""E"":[0,5],""M"":[2,3],""X"":[1,4]}","{""E"":0.09871939626643537,""M"":0.010154821103488903,""X"":1.4802973661668753e-16}",0.09871939626643522,0.9067288716308961,E,X,0.09871939626643567,4.440892098500626e-16,0.09871939626643522,98675575508.07678,0.9067288716308975,0.09327112835991613,1.3596399606011757e-15,0.0932711283599175,M+X,"[1,2,3,4]",0.010154821103489198,0.09327112835991884,
E5,entanglement_axis,magic,47,820939994,"[0,1,2,3,4,5]",[],"{""E"":2,""M"":2,""X"":2}","{""E"":[0,2],""M"":[3,5],""X"":[1,4]}","{""E"":0.10887421736992411,""M"":1.4802973661668753e-16,""X"":1.4802973661668753e-16}",0.10887421736992396,0.9999999999908108,E,M,0.10887421736992442,4.440892098500626e-16,0.10887421736992398,108825888966.88188,0.9999999999908123,1.3596399606011759e-15,1.3596399606011759e-15,2.7192799212023517e-15,M+X,"[1,3,4,5]",4.440892098500626e-16,4.078919881803527e-15,
E5,entanglement_axis,magic,48,1283886874,"[0,1,2,3,4,5]",[],"{""E"":2,""M"":2,""X"":2}","{""E"":[0,3],""M"":[1,4],""X"":[2,5]}","{""E"":0.09871939626643551,""M"":7.401486830834377e-17,""X"":0.010154821103488828}",0.09871939626643544,0.9067288716308983,E,M,0.09871939626643611,4.440892098500626e-16,0.09871939626643567,98675575508.07722,0.9067288716308989,6.798199803005878e-16,0.09327112835991545,0.09327112835991613,M+X,"[1,2,4,5]",0.010154821103489198,0.09327112835991884,
