partition_name,r,dataset_index,gate_index,group,gate_owen_value
feature_semantics,3,2,12,F12,0.034234722222222215
feature_semantics,3,2,13,F12,-0.00893075396825397
feature_semantics,3,2,14,F12,0.008933531746031748
feature_semantics,3,2,16,F1,0.014055555555555585
feature_semantics,3,2,18,F2,0.019249999999999986
feature_semantics,3,2,19,F12,0.005570039682539683
feature_semantics,3,2,20,F12,0.0015835317460317173
feature_semantics,3,2,21,F12,0.0
repetition_blocks,3,2,2,B1,0.036719444444444437
repetition_blocks,3,2,4,B1,0.08417777777777778
repetition_blocks,3,2,5,B1,0.027844444444444446
repetition_blocks,3,2,6,B1,0.028872222222222223
repetition_blocks,3,2,7,B1,0.020386111111111105
repetition_blocks,3,2,9,B2,0.057472222222222216
repetition_blocks,3,2,11,B2,0.05427777777777778
repetition_blocks,3,2,12,B2,0.048638888888888884
repetition_blocks,3,2,13,B2,0.008499999999999995
repetition_blocks,3,2,14,B2,0.01611111111111111
repetition_blocks,3,2,16,B3,-0.011888888888888874
repetition_blocks,3,2,18,B3,0.059416666666666666
repetition_blocks,3,2,19,B3,0.0015555555555555622
repetition_blocks,3,2,20,B3,-0.007083333333333325
repetition_blocks,3,2,21,B3,0.0
feature_semantics,3,3,2,F1,0.12224999999999997
feature_semantics,3,3,4,F2,0.04624999999999999
feature_semantics,3,3,5,F12,0.00960628306878307
feature_semantics,3,3,6,F12,0.012132870370370374
feature_semantics,3,3,7,F12,0.011252314814814804
feature_semantics,3,3,9,F1,0.0005833333333333276
feature_semantics,3,3,11,F2,0.03141666666666666
feature_semantics,3,3,12,F12,0.017083267195767193
feature_semantics,3,3,13,F12,0.008844775132275131
feature_semantics,3,3,14,F12,0.010689219576719575
feature_semantics,3,3,16,F1,0.0195
feature_semantics,3,3,18,F2,0.00616666666666668
feature_semantics,3,3,19,F12,0.0017570767195767183
feature_semantics,3,3,20,F12,-0.009537764550264545
feature_semantics,3,3,21,F12,5.291005291005294e-06
repetition_blocks,3,3,2,B1,0.055563888888888885
repetition_blocks,3,3,4,B1,0.036550000000000006
repetition_blocks,3,3,5,B1,0.03995277777777777
repetition_blocks,3,3,6,B1,0.010105555555555564
repetition_blocks,3,3,7,B1,0.007994444444444443
repetition_blocks,3,3,9,B2,0.017338888888888886
repetition_blocks,3,3,11,B2,0.026588888888888895
repetition_blocks,3,3,12,B2,0.028644444444444445
repetition_blocks,3,3,13,B2,0.02128333333333334
repetition_blocks,3,3,14,B2,0.007811111111111115
repetition_blocks,3,3,16,B3,0.008138888888888893
repetition_blocks,3,3,18,B3,0.019611111111111114
repetition_blocks,3,3,19,B3,0.02233333333333333
repetition_blocks,3,3,20,B3,-0.013916666666666662
repetition_blocks,3,3,21,B3,0.0
feature_semantics,3,4,2,F1,0.0018333333333333396
feature_semantics,3,4,4,F2,0.07225000000000001
feature_semantics,3,4,5,F12,0.005595634920634921
feature_semantics,3,4,6,F12,0.05365317460317452
feature_semantics,3,4,7,F12,0.00448015873015874
feature_semantics,3,4,9,F1,0.008666666666666677
feature_semantics,3,4,11,F2,0.03591666666666669
feature_semantics,3,4,12,F12,0.002030555555555555
feature_semantics,3,4,13,F12,0.012761904761904773
feature_semantics,3,4,14,F12,0.0010456349206349274
feature_semantics,3,4,16,F1,0.010833333333333339
feature_semantics,3,4,18,F2,0.04916666666666667
feature_semantics,3,4,19,F12,0.009881349206349206
feature_semantics,3,4,20,F12,0.0408849206349207
feature_semantics,3,4,21,F12,0.0
repetition_blocks,3,4,2,B1,0.032836111111111115
repetition_blocks,3,4,4,B1,0.05994722222222221
repetition_blocks,3,4,5,B1,0.015377777777777782
repetition_blocks,3,4,6,B1,0.03939166666666668
repetition_blocks,3,4,7,B1,0.025447222222222222
repetition_blocks,3,4,9,B2,0.009933333333333334
repetition_blocks,3,4,11,B2,0.017322222222222232
repetition_blocks,3,4,12,B2,0.02682222222222222
repetition_blocks,3,4,13,B2,0.04240555555555556
repetition_blocks,3,4,14,B2,0.009016666666666675
repetition_blocks,3,4,16,B3,0.00925
repetition_blocks,3,4,18,B3,0.015583333333333343
repetition_blocks,3,4,19,B3,0.019749999999999997
repetition_blocks,3,4,20,B3,-0.014083333333333318
repetition_blocks,3,4,21,B3,0.0
