benchmark_id,family_role,property,gate_idx,group,phi
I41,interior,entanglement,13,E,0.40015919569956476
I41,interior,entanglement,14,X,4.144832625267251e-16
I41,interior,entanglement,16,M,6.626879612723341e-17
I41,interior,entanglement,17,M,2.8991630369287435e-16
I41,interior,entanglement,18,M,3.9770569865560974e-17
I42,interior,magic,0,M,0.21511949738064148
I42,interior,magic,1,E,0.0
I42,interior,magic,2,X,0.008106205563412402
I42,interior,magic,3,E,0.042106152262189146
I42,interior,magic,4,X,0.20683336642218988
I42,interior,magic,5,M,0.0032936960908620965
I42,interior,magic,6,M,0.13506064573291482
I42,interior,magic,7,M,0.3089010737282268
I42,interior,magic,8,M,-0.005466773211086539
I42,interior,magic,9,M,-0.0023948035630287435
I42,interior,magic,10,M,-0.0026726351522812705
I42,interior,magic,11,M,-0.02586925734637796
I42,interior,magic,12,M,-0.01488172458843183
I42,interior,entanglement,0,M,0.15158915359358352
I42,interior,entanglement,1,E,0.0
I42,interior,entanglement,2,X,2.4424906541753446e-16
I42,interior,entanglement,3,E,0.16111087363586946
I42,interior,entanglement,4,X,3.9968028886505636e-16
I42,interior,entanglement,5,M,-2.6688708580807807e-16
I42,interior,entanglement,6,M,1.2511299914883215e-17
I42,interior,entanglement,7,M,1.7199940526549845e-16
I42,interior,entanglement,8,M,-1.2207807986254858e-16
I42,interior,entanglement,9,M,1.1656567544460502e-16
I42,interior,entanglement,10,M,2.2854800339563895e-16
I42,interior,entanglement,11,M,2.3845794392227914e-16
I42,interior,entanglement,12,M,9.34631265918751e-17
I43,interior,magic,0,X,0.08540009954720548
I43,interior,magic,1,E,0.0
I43,interior,magic,2,M,0.00016609628053531827
I43,interior,magic,3,M,0.00222101358384211
I43,interior,magic,4,M,0.007036027060899312
I43,interior,magic,5,M,2.845139784554719e-17
I43,interior,magic,6,X,0.21733359749516756
I43,interior,magic,7,E,-0.004152844817579263
I43,interior,magic,8,M,-0.011244358953337544
I43,interior,magic,9,M,0.18618912692912137
I43,interior,magic,10,M,0.00967649843463034
I43,interior,magic,11,M,0.2729080812932657
I43,interior,magic,12,X,0.12677167621628124
I43,interior,magic,13,E,-1.554312234475219e-16
I43,interior,entanglement,0,X,0.07489178488878828
I43,interior,entanglement,1,E,0.0
I43,interior,entanglement,2,M,-0.000336201093205064
I43,interior,entanglement,3,M,0.00036569377772703506
I43,interior,entanglement,4,M,0.0020957714330733864
I43,interior,entanglement,5,M,1.1627962597745373e-17
